median,lci,uci,date
0.406322461,0.04148237,1.02346759,2019/12/15
0.628095039,0.237048238,1.253839346,2019/12/16
0.538367176,0.203184204,1.074719439,2019/12/17
0.471071279,0.177786178,0.940379509,2019/12/18
0.418730026,0.158032158,0.835892897,2019/12/19
0.418730026,0.158032158,0.835892897,2019/12/20
0.418730026,0.158032158,0.835892897,2019/12/21
0.418730026,0.158032158,0.835892897,2019/12/22
0.556159913,0.182667514,0.947775522,2019/12/23
0.556159913,0.182667514,0.947775522,2019/12/24
0.363164588,0.051864983,0.655867558,2019/12/25
0.672420325,0.202179678,1.184539994,2019/12/26
0.920262792,0.357943058,1.405663883,2019/12/27
1.418325537,0.873488919,1.964897603,2019/12/28
1.634421858,1.057960339,2.267660953,2019/12/29
2.179081401,1.539778172,2.876689228,2019/12/30
2.319880985,1.6600495,3.067176125,2019/12/31
2.148139523,1.474814419,2.898356094,2020/1/1
2.281235439,1.576231672,3.048427708,2020/1/2
2.60687737,1.874146594,3.375772431,2020/1/3
2.570480121,1.894462275,3.388935336,2020/1/4
2.623882504,1.976627975,3.366001425,2020/1/5
2.341654047,1.789703422,3.005428642,2020/1/6
2.357615892,1.834707225,2.955250492,2020/1/7
1.981279999,1.546094886,2.465847022,2020/1/8
2.059145686,1.644267786,2.5327986,2020/1/9
2.159881392,1.748579731,2.619854653,2020/1/10
2.320786137,1.901282506,2.790918339,2020/1/11
2.365339162,1.971133881,2.805610661,2020/1/12
2.342187693,1.970523819,2.750806261,2020/1/13
2.339172156,1.991584194,2.716665367,2020/1/14
2.347167421,2.014741836,2.704332297,2020/1/15
2.491044057,2.171719875,2.838128281,2020/1/16
2.622567731,2.302051731,2.950315861,2020/1/17
2.646168477,2.345717961,2.969758094,2020/1/18
2.665589134,2.380576481,2.973273225,2020/1/19
2.657489486,2.395581772,2.934234397,2020/1/20
2.474325793,2.250821886,2.718095186,2020/1/21
2.422467043,2.210258525,2.647988444,2020/1/22
2.333276878,2.138780322,2.539164353,2020/1/23
2.282006916,2.100908386,2.471991211,2020/1/24
2.065651754,1.916000111,2.230287778,2020/1/25
1.922053523,1.784100556,2.069493047,2020/1/26
1.890036676,1.765356111,2.020110667,2020/1/27
1.930294299,1.815499222,2.055009111,2020/1/28
1.755583908,1.649324222,1.869386683,2020/1/29
1.671662774,1.572609819,1.782490333,2020/1/30
1.545983322,1.453461333,1.645666667,2020/1/31
1.442389929,1.354506614,1.537082667,2020/2/1
1.340211235,1.257715222,1.426613778,2020/2/2
1.227688368,1.149612236,1.312244889,2020/2/3
1.119927358,1.047018778,1.200501667,2020/2/4
0.956533706,0.893129778,1.025429661,2020/2/5
0.723953227,0.674466353,0.774849111,2020/2/6
0.664047315,0.618378889,0.713067222,2020/2/7
0.603148344,0.558669778,0.651052506,2020/2/8
0.694088363,0.640737778,0.750240525,2020/2/9
0.644371694,0.590035031,0.701678372,2020/2/10
0.663940246,0.607306628,0.7239,2020/2/11
0.692976858,0.631742144,0.75433285,2020/2/12
0.731166256,0.667137158,0.796695444,2020/2/13
0.798298337,0.728976444,0.868456444,2020/2/14
0.699296474,0.634662433,0.76734795,2020/2/15
0.759941522,0.689063444,0.835699889,2020/2/16
0.761651738,0.691895744,0.838364967,2020/2/17
0.648192286,0.580983322,0.720213681,2020/2/18
0.620467156,0.553290364,0.691311111,2020/2/19
0.580996696,0.513510739,0.652018556,2020/2/20
0.618228427,0.544229506,0.693988794,2020/2/21
0.659348723,0.584282444,0.744067556,2020/2/22
0.580171184,0.506321444,0.664945256,2020/2/23
0.628222693,0.548063756,0.716783575,2020/2/24
0.542346245,0.465103775,0.627952606,2020/2/25
0.583925862,0.500029653,0.673902525,2020/2/26
0.550288282,0.467932794,0.638915661,2020/2/27
0.544932724,0.461645875,0.634331358,2020/2/28
0.514181414,0.430736058,0.601066914,2020/2/29
0.450963334,0.365365125,0.542091603,2020/3/1
0.351075242,0.269983939,0.441690061,2020/3/2
0.357372692,0.268857683,0.458673733,2020/3/3
0.305895927,0.21471176,0.413522305,2020/3/4
